"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,1,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
0,1,0,0,1.69,0,0,0,0,0,1.69,0,0,1.69,0,0,0
1,1,0.21,0,0.64,0,0,0,0,0.1,0,0,0,0,0,0.74,0
0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1.28,0,0,3.84,0,3.84,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.62,0,1.86,0.2,0.2,0,0.2,0.41,0,2.69,1.03,2.48,0,0,0
1,1,0.32,0,0.98,0.32,0,0,0,0.65,0,2.61,0,2.28,0,0.65,0
1,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,5.45,0,3.63,0,0,0
0,0,0,0,0.14,0,0,0.02,0,0,0.02,0.11,0,0.08,0,0,0
0,1,1.32,0.72,2.52,0.6,0,0,0.6,0.24,0,4.44,0,1.8,0,0.72,0.96
0,0,0.11,0,0.11,0.11,0,0,0,0,0.23,2.15,0,0.35,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1.16,0,2.32,0,0,0
0,0,0,0,1.31,0,0,0,0,0,0,1.31,0,5.26,0,0,1.31
0,0,0,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.23,0,0,0,0,0,0.05,0.23,0,0.17,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0.69,0,0,0,0.69,0,0,2.79,0,0.69,0,0,0
1,1,2.88,0,0.88,0.22,0,1.1,0.44,0,0.44,3.32,0,3.32,0,0.44,0.44
0,0,1.02,0,0,1.02,0,0,0,0,0,4.08,0,0,0,0,0
0,0,0,0.55,0,1.11,0,0,3.35,0,0,0.55,0,1.11,0,0,0
0,0,0,0,1.28,0,0,0,0,0,0,1.28,0,6.41,0,0,1.28
1,1,0,0.55,0.27,0.27,0,0,1.1,0.27,0.83,2.49,0,3.04,0,0,0.27
0,1,0.48,0,0.24,0,0,0,0,0.48,0.24,0.72,0.48,0.72,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0
0,1,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0
0,1,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0.52,0,0,0,0,0.39,0,1.05,0,1.05,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.9,0,0.95,0,0,0
1,0,0.14,0.07,0.57,0.35,0.07,0,0,0.28,0,4.31,0.28,0.64,0,1,0.07
1,1,0,0,0,0.49,0,0,0.49,1.47,0.49,4.43,0,0.49,0,0,0
1,1,0,0,0.37,0,0,0,0,0,0,0.49,0,0.24,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1.02,0,0,0,0,0,0,0,0,0.34,1.02,0.68,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0,0
0,0,0,0,2.15,0,0,0,0,0,0,1.07,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0
1,1,0,0,1.88,0,0,0,0,0,0,1.88,0,0,0,0,0
0,1,0,0.54,1.09,0,0,0,0,0,0,3.82,0,0,0,0,0
1,1,0,0,0,0,0,0,0.51,0,0,1.53,0,1.53,0,0,0
0,0,0,0,0.46,0,0.46,0,0,0,0,0.23,0,0,0,0.23,0
1,1,1.36,0,0.17,0,0,0,0.17,0.34,0,1.19,0,0.85,0,0,0
0,0,0,0,0.32,0.32,0,0,0.32,0.32,0,2.28,0,3.25,0,0,0.32
1,1,0,0,0.55,0,0,0,0.11,0.11,0,1.22,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,6.66,0,0,0,0,6.66
1,1,0,0,0,0.08,0,0,0,0,0.08,4.19,0,1.39,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.39,0,1.57,0.19,0,0,0,0.09,0,3.75,0.09,1.08,0,0,0.09
0,1,0,0,0,0,0,0,0,0,0,0.91,0,2.75,0,0,0
0,0,0.69,0.23,0.88,0.52,1.14,0,0.23,0.4,0,2.93,0,1.36,0,1,0.31
1,1,0.52,0.06,0.39,0.32,0,1.17,0.13,0.06,1.1,1.3,0,1.04,0,0.52,0.19
0,1,0,0,0.85,0,0,0,0,0,0,2.56,0,0,0,0,0
1,1,0,0,0.74,0,0,0,0,0,0.74,1.49,0,0,0,0,0
0,1,0.76,0.26,0.97,0.58,1.26,0,0.26,0.44,0,3.24,0,1.5,0,1.02,0.34
0,1,0,0,1.11,0,0,0,1.11,0,0.55,1.66,0,2.22,0,0.55,0
0,1,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0
0,1,0.57,0,0.57,0,0,0,0,0,0.57,3.42,0,1.14,0,0,0
0,1,0,0,3.7,0,0,0,0,0,3.7,0,0,0,0,0,0
0,1,0,0,0.13,0.06,0,0,0,0.96,0,0,0,0,0,0,0
0,0,0.29,0.29,0.69,0.29,0,1.58,0.09,0,1.08,1.38,0.19,0.69,0,0.59,0.19
0,1,0,0,1.14,0,0,0,0,0,0,5.14,0,1.14,0,2.85,0
0,0,0,0,1.88,0,0,0,0,0,0,1.88,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2.11,0,2.81,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.31,0,2.89,0,0,0
1,0,1.49,0,1.49,0,0,0,0,0,0,7.46,0,1.49,0,0,0
1,1,0.58,0.09,1.07,0.19,0.87,0.09,0,0,1.17,3.81,0.68,1.75,0,0.09,0.29
0,0,0,0,0.71,0,0,0,1.43,0,0,4.31,0,1.43,0,0,0.71
0,1,0.4,0.1,0.72,0.65,0.36,0.25,0.54,0.36,0.36,3.05,0.14,1.41,0,0.29,0.76
0,1,0,0,1.4,0,0,0,0,0.7,0,1.4,0,1.4,0,0,0
0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.84,0,0,0,0,0,0,5.76,0,0,0,0,0
0,1,0,0,0.64,0,0,0,0.64,0,0,0.64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.48,0,2.32,0,0,2.32
0,1,0,0,0.09,0.01,0,0,0.01,0.01,0.01,0.07,0.01,0.05,0,0,0
0,1,0.23,0,0,0,0,0,0,0,0,3.69,0,0.69,0,0,0
0,1,0,0,2.63,0,0,0,0,0,0,5.26,0,1.31,0,0,0
0,1,0,0,0.3,0,0,0,0,0,0,0.75,0,0.3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0.44,1.76,0,2.2,0,2.2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.81,0.1,0.5,0,0,0,0.1,0,1.01,2.34,0.5,2.03,0,0,0.3
0,0,0,0,0,0,0,0,0,0.67,0,3.37,0,1.35,0,0,0.67
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,2.46,0,0,0,0,0,0,6.17,0,2.46,0,0,0
1,1,0.06,0,0.33,0.13,0,0,0.2,0,0,1.14,0.13,1.21,0,0,0.06
0,1,0.55,0,0.55,0,0,0,0,0,0.55,3.35,0,1.11,0,0,0
1,0,0,0,1.63,0,0,0,1.63,0,0,1.63,0,1.63,0,0,0
1,1,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.26,0,0.26,0,0,0,0.26,0,0,1.31,0,0.52,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.81,1.62,0,0,0,0,0,1.62,0,0,0,0,0
1,1,0,0,0,0,0,0,0.29,0,0,4.38,0,0.58,0,0,0
0,1,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0
1,1,0,0.36,0.85,0,0,0,0.24,0.24,0,2.33,0,0.73,0,0,0
0,0,0,0,0.83,0,0,0,0.83,1.11,0.27,1.38,0,1.11,0,0.55,0
0,1,0,0,0,0,0,0,0.93,0,0,2.8,0,0,0,0,0
0,1,0,0,0.32,0.32,0,0,0.32,0.32,0,2.28,0,3.25,0,0,0.32
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.79,0,0,0,0.39,0,0,0.99,0,0,0,0,0
1,1,1.68,0.84,0,0,0,0,0.84,0,0,3.36,0,0.84,0,0.84,0
0,0,0.24,0.24,1.23,0,0,0,0,1.23,0,1.23,1.73,2.47,0,0.24,0.74
0,0,0.42,0.39,1.37,0.87,1.69,0,0.32,0.54,0.22,3.47,0.29,1.32,0,0.34,0.84
0,0,0,0,0.25,0.25,0.07,0,0.05,0.22,0,0.05,0,0.02,0,0.37,0.02
0,1,0,0,0.58,0,0,0,1.16,0,1.16,1.16,0,1.75,0,0,0
1,1,0,0,0,0,0,0,0,0,0,5.45,0,0,2.72,0,0
0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0
0,1,0.25,0.64,0.25,1.03,0,0,0.77,0.9,0.12,1.93,0,0.51,0.12,0.12,1.03
1,1,0,0,0,0.54,0,0,0,0,0,3.79,0,0.54,0,0,0
1,1,0,0,0.84,0,0,0,0,0,0,0.28,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.54,0.54,0.54,0,0,0,2.17,0,0.54,3.26,0,1.08,0,0,0
0,1,2.56,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0
0,1,0,0,2.46,0,0,0,0,0,2.46,1.23,0,1.23,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,3.06,0,2.04,0,0,0
0,1,0.08,0,0.6,0.17,0.17,0,0,0.17,0.08,1.2,0,3.17,0,0.34,0.08
0,1,0.8,0.28,0.7,0.56,1.19,0.03,0.24,0.45,0,3.19,0,1.43,0,0.38,0.63
0,1,0,0,0.29,0,0,0.29,0,0,0.29,0.89,0,0.29,0,0,0
1,1,1.49,0,1.49,0,0,0,0,0,0,7.46,0,1.49,0,0,0
1,0,0,0,0.32,0,0,0,0,0,0,1.93,0,0.32,0,0,0
1,1,0.58,0.29,0.29,0,0,0,1.46,0.29,0.87,1.16,0.87,1.16,0,0,0
0,0,0,0.08,0.25,0,0,0,0.08,0,0,0.94,0,0.6,0,0.25,0
0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
0,1,1.29,1.29,1.94,0,0,0,0.64,0.64,0.64,3.24,0,2.59,0,0,0
0,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.46,0,0,0,0,0,0,6.17,0,2.46,0,0,0
0,1,0,0,0,0.43,0,0,0.43,0.43,0.43,1.72,0,0.86,0,0,0
0,1,0.29,0.05,0.34,0.42,0.07,0.55,0.87,0.45,0.66,3.95,0.05,1.59,0,0.39,0.34
0,1,0,0,1.28,0,0,0,0,0,0,3.84,0,0,0,0,0
0,0,0,0,0,0,0,0,6.25,0,0,4.16,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.03,0,1.03,0,0,0,2.06,0,0,2.06,0,1.03,0,0,0
0,1,0,0,0.74,1.49,0,0,0,0,0,1.49,0,1.49,0,0,0
1,1,0,0,0,0,1.79,0,0,0.29,0,0,0,0.59,0,0,0
1,1,0,0,1.81,0,0,0,0,0,0,0,0,1.81,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2.85,0,0.95,0,0,0
0,1,0.28,0,0.28,0,0,0,0.56,0,0.56,2.52,0,0.28,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.82,0,0,0,0,0,0,0,0,1.65,0,0.82,0,0,0
1,1,1.18,0.11,2,0.23,0,0,0,0.11,0,4.84,4.96,1.77,0,0,0.23
1,1,0,0,0,0,0,0,0,0,0,2.96,0,1.48,0,0,0
1,1,0,0,0.46,0,0,0,0,0.15,0,0.15,0,0.07,0,0,0.07
0,0,0,0,1.15,0,0,0,0,0,0,2.89,0,0.57,0,0,0
1,1,0,0,2.06,0,0,0,2.06,0,0,3.09,0,1.03,0,0,0
0,1,0,0,0,0,0,0,1.28,0,0,3.84,0,3.84,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.21,0,0.21,0.32,0,0,0,0.21,0,0,0,0,0,0.54,0
0,1,0.57,0,0.57,0,0,0,0,0,0.57,3.42,0,1.14,0,0,0
0,1,0,0,0.35,0,0,0,0,0,0,1.42,0,0.71,0,0,0
1,1,0.23,0.23,1.9,0,0,0,0.23,0,0,3.81,0.23,1.19,0,0,0
0,0,0,0,0.43,0.14,0,0,0,0.14,0,3.31,0,1.44,0,0,0
1,0,0,0,1.29,0,0,0,1.29,0.64,0,1.93,0,2.58,0,0.64,0
0,0,0,0,0,0,0,0,1.25,0,0,5,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
0,1,1.1,0,0,0,0,0,0,0,0.55,0,0,1.1,0,0,0
0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,1.61,0,0
0,1,0,0,0,0,0,0,0,0,1.26,5.06,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2.22,0,3.33,0,0,0
1,1,4.7,0,0,0,0,0,1.17,0,0,1.17,0,1.17,0,0,0
0,1,1.23,0,0,0,0,0,1.23,0,0,1.23,0,0,0,0,0
1,0,0.5,0.25,0.95,0.06,0,0.19,0,0.06,0,3.82,0.19,2.48,0,0,0.19
0,0,0,0,0,0.82,0.16,0,0,0,0,0.33,0,0,0,0,0
0,1,0.55,0,0.55,0,0,0,0,0,0.55,3.31,0,1.1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.68,0,2.05,0,0,0,0,0,0.68,4.1,0,2.73,0,0,0.68
0,1,0.37,0,0.75,0,0,0,0,0,0,2.63,0,0.75,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,4.81,0,3.61,0,0,0
0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0
0,1,0,0,1.61,0,0,0,0,0,1.61,3.22,0,1.61,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1.11,0,0,0,0,0,0,0,0,2.22,0,1.11,0,0,0
1,1,0,0,0.3,0.3,0,0,0.3,0.3,0.3,2.11,0,3.02,0,0,0.3
0,1,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.7,0,0,0,0,0,0,0,0,1.7,0,0.34,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.23,0.92,0.46,0,0,0.46,0.23,0.34,0.58,0,0.58,0,0.11,0
1,1,1.29,1.29,1.94,0,0,0,0.64,0.64,0.64,3.24,0,2.59,0,0,0
0,1,0,0,0,0,0,0,0,0,0.51,3.06,0,1.02,0,0,0
1,1,0,0,2.17,0,0,0,0,0,0,0.86,0,0,0,0,0
0,0,1.12,0,0,0,0,0,0,0,0,1.12,0,1.12,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0.42,0,2.11,0,0,0
1,1,0.14,0.14,0,0,0,0,0.86,0,0.57,0.57,0,0,0,0,0
0,1,0.51,0,0,0,0,0,0,0,0,0.51,0,0.51,0,0,0
0,1,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.8,0,0,0,0,0,0,0.8,0,0,0,0,0
0,0,0,0.48,0,0,0,0,0.48,0.48,0,1.44,0,2.88,0,0.96,0
0,0,0,0,0.16,0,0,0,0,0,0.05,0.22,0,0.16,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.43,0,0.14,0,0,0.14,0.29,1.46,2.05,1.9,0,1.02,0,0,0.29
1,1,1.59,0.26,0.71,0.17,0.08,0.71,0.88,0.44,0,1.86,0.26,1.24,0,0.08,0.35
0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1.29,0,0,2.59,0,0,0,0,0
0,0,0,0,0.9,0,0,0,0,0,0.9,0.9,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1.26,0,0,1.26,0,0,0
1,1,0,0,2.38,0,0,0,0,0,1.19,0.59,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0.58
1,1,0.26,0.26,0.52,0,0,0,0.26,1.56,0.26,1.82,2.08,0.26,0,0,0
0,0,0.52,0.21,0.52,0.42,0,0,0,0.52,0,4.53,0,2,0,0.31,1.47
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1.19,0,0,1.19,0,0,0,0,0
0,1,0,0,0.5,0,0,0,0,0.1,0,0.2,0,0,0,0,0
1,1,0,0,3.79,0,0,0,0,0,1.26,0,0,0,0,0,0
1,1,0,0,1.31,0,0,0,0,0,0,1.31,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.57,0.19,0,0.19,0,0.19,0.19,0,0.95,0.19,0.19,0.95,0,0,0
0,1,0.42,0.39,1.37,0.87,1.69,0,0.32,0.54,0.22,3.47,0.29,1.32,0,0.34,0.84
0,1,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0
0,0,0.53,0,0,0,0,0,0,0,1.61,1.07,0,0,0,0,0
0,1,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.9,0.9,1.81,0,2.72,0,0,0.9
0,0,0.34,0,0,0,0,0.34,0.68,0,1.37,1.03,0,1.03,0,0,0
0,1,0,0,0.69,0,0,0,0,0,0,4.19,0,1.39,0,0,0
1,1,1.94,0,0.97,0,0,0,0,0,0.97,5.82,0,0.97,0,0,0
0,1,0.48,0.24,0.72,1.2,0,0,1.68,0.72,0,1.92,0,1.68,0,0.24,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.43,0,0.43,0,0,0,0,0,0,0.87,0,0,9.17,0,0
0,1,0,0.5,1.01,0,0,0,0,0,0,4.04,0,3.03,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.38,1.16,0,0,0,0.38,0,1.16,1.93,0,0.38,0,1.16,0.38
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2.67,0,1.78,0,0,0
0,1,0.46,0,0,0,0,0,0,0,0,2.8,0,1.86,0,0,0
0,1,0,0,0,0,0,0,0.95,0.95,0,1.42,0,0.47,0,0.95,0
1,1,0,0.3,1.71,0,0.1,0,0,0.1,0,1.01,0.3,0.5,0,0,0
1,1,0.56,0.11,1.79,0.22,0.11,0,0.11,0.22,0.89,1.79,0,2.8,0,0,0
1,1,0.29,0.14,0.58,0,0,0,0.14,0,0.14,2.35,0.14,0.88,0,0,0.44
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0
0,0,0,0,0.68,0,0,0,0,0.68,0,0.68,0,0,0,0,0
0,1,0,0.52,1.05,0.52,0,0,1.05,0,0,3.7,1.05,1.05,0,1.58,0.52
1,1,0,0,0.88,0,0,0,0,0,0,0.88,0,0,0,0,0
